match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_score_rate
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:00:00,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.121,4.011,1,86,B,NCTL,D,1.0
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:00:41,1,1,2,0,0,0,0,15,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.312,3.877,1,92,B,NCTL,D,1.0
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:01:09,1,1,3,0,0,0,0,30,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.046,8.669,1,102,W,CTL,ND,1.0
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:01:29,1,1,4,0,0,0,0,40,0,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.162,6.163,1,120,BW,CTL,ND,1.0
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:02:42,1,2,5,0,0,1,0,0,0,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.342,2.573,1,112,BW,NCTL,MD,0.8
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:03:10,1,2,6,0,0,1,0,0,15,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.974,7.806,3,123,C,NCTL,ND,0.6666666666666666
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:03:49,1,2,7,0,0,1,0,0,30,2,1,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.246,13.794,3,123,W,CTL,D,0.5714285714285714
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:04:13,1,2,8,0,0,1,0,0,40,2,2,2,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.828,12.621,3,104,W,NCTL,ND,0.5
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:04:57,1,3,9,0,0,1,1,0,0,1,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.138,6.177,1,100,BC,NCTL,D,0.5555555555555556
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:05:29,1,3,10,0,0,1,1,15,0,1,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.927,4.275,1,114,C,NCTL,ND,0.6
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:05:59,1,3,11,0,0,1,1,30,0,1,2,1,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.757,9.224,3,95,BC,NCTL,D,0.6363636363636364
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:06:30,1,3,12,0,0,1,1,40,0,1,1,1,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,25.291,24.933,7,117,W,NCTL,D,0.8
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:08:24,1,4,13,0,0,2,1,0,0,2,2,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.402,7.535,2,108,BW,NCTL,D,0.6923076923076923
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:08:53,1,4,14,0,0,2,1,15,0,2,2,1,10,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.94,1.038,0,108,C,NCTL,MD,0.7142857142857143
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:09:31,1,4,15,0,0,2,1,30,0,2,1,2,10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.78,18.968,5,128,BC,NCTL,D,0.6666666666666666
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:10:03,1,4,16,0,0,2,1,30,15,2,1,2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.898,9.751,1,122,W,CTL,D,0.625
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:10:25,1,4,17,0,0,2,1,30,30,2,2,1,11,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22.463,17.925,6,112,W,CTL,ND,0.6470588235294118
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:11:15,1,4,18,0,0,2,1,40,30,2,1,2,11,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,38.64,43.183,11,127,C,NCTL,D,0.6111111111111112
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:12:03,1,4,19,0,0,2,1,40,40,2,1,2,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.104,5.347,1,125,BW,NCTL,D,0.5789473684210527
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:12:30,1,4,20,0,0,2,1,40,AD,2,2,1,12,8,0,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.568,16.514,4,121,BC,NCTL,ND,0.6
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:13:31,1,4,21,0,0,2,1,40,40,2,1,2,12,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066,0.943,1,126,C,NCTL,MD,0.5714285714285714
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:13:52,1,4,22,0,0,2,1,40,AD,2,2,2,12,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.193,15.082,5,101,W,NCTL,ND,0.5454545454545454
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:14:41,1,5,23,0,0,2,2,0,0,1,1,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.327,4.714,1,97,W,NCTL,D,0.5652173913043478
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:15:00,1,5,24,0,0,2,2,15,0,1,1,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.137,7.568,1,104,C,CTL,D,0.5833333333333334
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:15:17,1,5,25,0,0,2,2,30,0,1,1,1,15,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.913,25.23,7,130,BC,CTL,ND,0.6
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:15:47,1,5,26,0,0,2,2,40,0,1,1,1,16,10,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.802,8.942,3,114,C,NCTL,ND,0.8
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0:17:28,1,6,27,0,0,3,2,0,0,2,1,1,17,10,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.825,4.702,2,120,W,NCTL,ND,0.6296296296296297
