id,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_4idth,serve_depth,return_2epth,p1_score_rate,y81,y82,y9,y10
5437,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,15.447,1,114,4,1,2,1,10.67,15.447,1.14,1
5438,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:00:15,1,1,2,0,0,0,0,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0.911,1,131,3,1,1,1,0.552,0.911,1.31,1
5439,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:00:29,1,1,3,0,0,0,0,1,1,2,2,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.678,23.801,6,132,3,1,2,0.666666667,2.946333333,3.966833333,1.32,0.333333333
5440,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:00:57,1,1,4,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,3,0,1,0.75,0,0,1.27,0.5
5441,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:01:13,1,1,5,0,0,0,0,1,2,1,4,1,1,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,29.48,39.243,7,99,0,0,2,0.8,4.211428571,5.606142857,0.99,0.6
5442,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:02:31,1,2,6,0,0,1,0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372,0.556,1,125,3,0,1,0.666666667,1.372,0.556,1.25,0.333333333
5443,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:02:53,1,2,7,0,0,1,0,2,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.986,29.908,9,123,1,0,0,0.571428571,3.776222222,3.323111111,1.23,0.142857143
5444,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:03:28,1,2,8,0,0,1,0,2,1,2,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221,1.393,1,113,4,1,1,0.5,1.221,1.393,1.13,0
5445,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:03:50,1,2,9,0,0,1,0,2,1,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.213,10.1,1,123,4,0,2,0.444444444,14.213,10.1,1.23,-0.111111111
5446,2023-wimbledon-1408,Hubert Hurkacz,Novak Djokovic,0:04:16,1,3,10,0,0,1,1,1,1,2,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.415,7.467,2,120,1,0,2,0.4,2.2075,3.7335,1.2,-0.2
