id,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_4idth,serve_depth,return_2epth,p1_score_rate,y81,y82,y9,y10
6373,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,2,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.008,5.212,1,109,4,1,1,0.0,8.008,5.212,1.09,-1.0
6374,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:00:31,1,1,2,0,0,0,0,2,2,1,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.804,13.208,4,105,0,0,2,0.5,3.701,3.302,1.05,0.0
6375,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:01:15,1,1,3,0,0,0,0,2,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918,0.587,1,125,3,0,1,0.3333333333333333,0.918,0.587,1.25,-0.333333333
6376,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:01:38,1,1,4,0,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.413,32.779,6,87,2,0,0,0.5,5.7355,5.463166667,0.87,0.0
6377,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:02:39,1,1,5,0,0,0,0,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.832,2.376,1,112,4,0,0,0.4,3.832,2.376,1.12,-0.2
6378,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:03:03,1,1,6,0,0,0,0,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.453,73.784,19,88,4,0,2,0.3333333333333333,3.865947368,3.883368421,0.88,-0.333333333
6379,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:05:15,1,2,7,0,0,0,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.651,8.25,1,109,4,1,2,0.42857142857142855,3.651,8.25,1.09,-0.142857143
6380,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:05:35,1,2,8,0,0,0,1,1,2,2,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38.279,53.489,12,85,4,0,2,0.375,3.189916667,4.457416667,0.85,-0.25
6381,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:06:30,1,2,9,0,0,0,1,1,1,2,3,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.953,28.995,10,126,0,0,0,0.3333333333333333,3.1953,2.8995,1.26,-0.333333333
6382,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:07:13,1,2,10,0,0,0,1,1,2,1,4,6,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,41.102,37.596,11,92,1,0,0,0.4,3.736545455,3.417818182,0.92,-0.2
6383,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:08:10,1,2,11,0,0,0,1,1,1,1,5,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.848,1,125,3,0,1,0.45454545454545453,1.01,0.848,1.25,-0.090909091
6384,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:08:34,1,2,12,0,0,0,1,1,1,1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.677,7.35,1,131,4,0,2,0.5,5.677,7.35,1.31,0.0
6385,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:09:11,1,3,13,0,0,1,1,2,2,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.366,18.752,5,89,0,0,0,0.46153846153846156,5.4732,3.7504,0.89,-0.076923077
6386,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:09:54,1,3,14,0,0,1,1,2,2,1,7,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.225,6.206,0,89,0,1,0,0.5,#DIV/0!,#DIV/0!,0.89,0.0
6387,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:11:09,1,3,15,0,0,1,1,2,2,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.338,0.838,1,105,1,0,1,0.4666666666666667,1.338,0.838,1.05,-0.066666667
6388,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:11:50,1,3,16,0,0,1,1,2,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.372,3.732,1,124,4,1,2,0.2,5.372,3.732,1.24,-0.125
6389,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:12:12,1,3,17,0,0,1,1,2,1,2,7,10,2,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,53.415,47.626,13,124,3,1,0,0.2,4.108846154,3.663538462,1.24,-0.176470588
6390,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:14:12,1,4,18,0,0,1,2,1,2,1,8,10,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.34,25.659,7,99,0,0,2,0.4444444444444444,2.905714286,3.665571429,0.99,-0.111111111
6391,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:14:50,1,4,19,0,0,1,2,1,1,1,9,10,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.859,8.93,3,126,0,0,0,0.47368421052631576,1.619666667,2.976666667,1.26,-0.052631579
6392,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:15:12,1,4,20,0,0,1,2,1,1,1,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.568,14.044,3,127,3,0,2,0.5,3.522666667,4.681333333,1.27,0.0
6393,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:15:33,1,4,21,0,0,1,2,1,2,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.705,35.602,12,98,2,0,2,0.47619047619047616,3.392083333,2.966833333,0.98,-0.047619048
6394,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:16:37,1,4,22,0,0,1,2,1,2,1,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.313,9.241,1,92,0,1,0,0.5,11.313,9.241,0.92,0.0
6395,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:17:32,1,5,23,0,0,2,2,2,2,1,12,11,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.273,10.95,4,85,3,0,0,0.5217391304347826,3.31825,2.7375,0.85,0.043478261
6396,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:18:12,1,5,24,0,0,2,2,2,1,2,12,12,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.043,5.919,3,118,3,1,1,0.5,3.014333333,1.973,1.18,0.0
6397,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:18:39,1,5,25,0,0,2,2,2,1,2,12,13,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.488,15.014,5,112,4,1,0,0.48,5.2976,3.0028,1.12,-0.04
6398,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:19:13,1,5,26,0,0,2,2,2,2,2,12,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.447,4.503,1,87,2,0,0,0.2,4.447,4.503,0.87,-0.076923077
6399,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:19:52,1,5,27,0,0,2,2,2,1,2,12,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.846,8.286,3,125,3,1,0,0.0,3.948666667,2.762,1.25,-0.111111111
6400,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:21:33,1,6,28,0,0,2,3,1,1,2,12,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.645,15.381,2,103,4,1,0,0.42857142857142855,3.3225,7.6905,1.03,-0.142857143
6401,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:22:02,1,6,29,0,0,2,3,1,1,2,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.99,67.63,16,122,3,0,0,0.41379310344827586,3.561875,4.226875,1.22,-0.172413793
6402,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:22:48,1,6,30,0,0,2,3,1,1,1,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.483,8.259,1,108,4,1,0,0.43333333333333335,5.483,8.259,1.08,-0.133333333
6403,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:23:10,1,6,31,0,0,2,3,1,1,2,13,18,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.258,16.698,6,114,2,0,0,0.41935483870967744,3.543,2.783,1.14,-0.161290323
6404,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:23:48,1,6,32,0,0,2,3,1,1,1,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.269,6.736,1,109,4,1,2,0.4375,4.269,6.736,1.09,-0.125
6405,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:24:13,1,6,33,0,0,2,3,1,1,1,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.076,7.404,1,114,3,0,2,0.45454545454545453,6.076,7.404,1.14,-0.090909091
6406,2023-wimbledon-1504,Andrey Rublev,Novak Djokovic,0:24:38,1,6,34,0,0,2,3,1,2,2,15,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.871,6.666,2,93,3,0,2,0.4411764705882353,3.4355,3.333,0.93,-0.117647059
